Lineups,TEAM,GP,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,PACE,PIE
C. Paul - J. Crowder - D. Booker - M. Bridges - D. Ayton,PHX,52,706,115.9,111.2,4.7,63.3,2.42,20.3,21.7,74.8,49,0.1,57.9,61.1,100.11,53.7
D. Green - T. Harris - S. Curry - J. Embiid - B. Simmons,PHI,32,656,117.7,103.7,14,60.9,2.02,19,21.7,76,50.7,0.1,57.9,62.1,100.57,58.9
E. Bledsoe - S. Adams - B. Ingram - L. Ball - Z. Williamson,NOP,41,610,115.9,113.8,2,64.4,2.17,20.4,30,75.5,53.2,0.1,57.1,59,100.35,52.8
M. Conley - B. Bogdanovic - R. Gobert - R. O'Neale - D. Mitchell,UTA,41,593,114.2,103.4,10.8,55.7,1.7,16.6,27.6,73.6,52.4,0.1,55.8,59.2,99.89,55.8
N. Noel - R. Bullock - E. Payton - J. Randle - R. Barrett,NYK,41,554,109,113.6,-4.6,55,1.65,16.8,24.6,73.4,48.9,0.1,54.3,57,97.35,45.4
B. Lopez - J. Holiday - K. Middleton - G. Antetokounmpo - D. DiVincenzo,MIL,45,508,117.7,109,8.7,60.5,2.07,19.9,23,80.6,52.6,0.1,59.8,61.9,107.9,55.9
J. Valanciunas - K. Anderson - D. Brooks - G. Allen - J. Morant,MEM,35,457,116.2,107.6,8.7,60.4,2.28,19,26.8,78.7,53.2,0.1,55,58.2,104.63,53.6
H. Barnes - R. Holmes - B. Hield - D. Fox - M. Bagley III,SAC,32,425,121.4,114.2,7.2,60,2.46,20,26,77.4,51.7,0.1,59.6,61.1,101.28,52.6
H. Barnes - R. Holmes - B. Hield - D. Fox - T. Haliburton,SAC,40,404,120,112.4,7.6,56.9,2.14,18.4,24.7,71.3,48.9,0.1,58.5,62.3,103.62,54.4
R. Bullock - E. Payton - J. Randle - M. Robinson - R. Barrett,NYK,23,395,104.9,103,1.9,53.5,1.58,16.3,29.6,77.8,54.5,0.1,50.8,53.2,95.91,50.9
D. Lillard - C. McCollum - R. Covington - J. Nurkic - N. Powell,POR,21,370,118.3,104.8,13.5,60.3,2.44,19.1,24.2,79.9,50.9,0.1,57,59.9,103.25,56.1
D. DeRozan - D. Murray - J. Poeltl - D. White - K. Johnson,SAS,24,333,117.9,111.9,6,57.9,2.75,19.7,25.8,75.1,50.9,0.1,56.2,58.7,100.07,53.3
M. Conley - R. Gobert - J. Clarkson - J. Ingles - G. Niang,UTA,34,302,116.5,101.5,15,64.3,2.22,19.3,27,75.4,52.4,0.1,58.4,61.5,104.98,57.8
E. Kanter - D. Lillard - R. Covington - D. Jones Jr. - G. Trent Jr.,POR,25,289,122.9,107.4,15.5,53.2,2.14,17.2,30.9,73.5,52.2,0.1,56.6,59.7,98.29,55.3
K. Porzingis - J. Richardson - D. Finney-Smith - M. Kleber - L. Doncic,DAL,22,281,123.7,111.1,12.6,59.6,2.21,19.3,24.1,78.7,52.6,0.1,61.5,63.9,99.8,55.4
L. James - M. Gasol - A. Davis - D. Schroder - K. Caldwell-Pope,LAL,21,281,116.9,103.7,13.2,64.1,2.13,20.4,23.8,75.8,50.6,0.1,57.8,60.8,100.86,56.2
S. Curry - D. Green - K. Bazemore - A. Wiggins - K. Looney,GSW,28,268,116,106.7,9.3,73.6,2,22.3,27.9,75.2,52.5,0.2,59.7,61.3,101.54,55.1
S. Ibaka - N. Batum - P. Beverley - P. George - K. Leonard,LAC,19,264,118.3,101.7,16.7,63.2,2.19,19.9,26.1,81,52.4,0.1,58.3,60.5,98.55,56.2
D. Favors - B. Bogdanovic - J. Clarkson - R. O'Neale - D. Mitchell,UTA,45,262,120.5,109.9,10.6,52.7,1.56,16.3,31.1,75.6,53,0.1,57.7,61.5,104.49,50.9
G. Hayward - B. Biyombo - T. Rozier - D. Graham - P. Washington,CHA,26,258,99.2,109.2,-10,74.2,1.89,19.5,22.5,75,47.6,0.1,49.6,52.2,98.92,45
P. Millsap - W. Barton - G. Harris - N. Jokic - J. Murray,DEN,16,250,124,113.1,11,60,2.27,19.8,33.6,77.7,56.1,0.1,58.6,61.3,95.41,54.6
S. Curry - D. Green - A. Wiggins - K. Oubre Jr. - J. Wiseman,GSW,23,247,96.9,109.7,-12.8,67.1,1.46,19,18,72.9,46.6,0.2,51.6,54.1,105.95,45.1
J. Holiday - D. McDermott - M. Turner - D. Sabonis - M. Brogdon,IND,24,238,111.3,105.8,5.5,62.9,1.89,19.3,25.6,78.8,52.6,0.1,55.4,58.3,101.22,52.1
J. Valanciunas - K. Anderson - D. Brooks - J. Morant - D. Bane,MEM,28,224,114.4,105.5,8.9,60.3,1.83,19.2,32.1,75,53.8,0.1,57.5,59.4,104.57,53.3
B. Bogdanovic - R. Gobert - J. Ingles - R. O'Neale - D. Mitchell,UTA,23,219,123.9,104.3,19.6,58.7,2,18.3,27.2,79.8,56.5,0.1,62.3,65.4,103.43,61.7
L. Aldridge - D. DeRozan - D. Murray - L. Walker IV - K. Johnson,SAS,16,219,111.8,124.3,-12.5,62.6,2.64,20,17.4,74.1,43.7,0.1,54.4,57.4,100.82,43.5
P. Millsap - W. Barton - N. Jokic - J. Murray - M. Porter Jr.,DEN,15,218,125.3,119.4,5.9,61.6,2.5,21.4,31.1,69.5,50.6,0.1,61.4,63.4,96.29,53.6
