Player,Team,Pos,Archetype
Joel Embiid,PHI,C,Interior Creator
Luka Dončić,DAL,PG,Lead Playmaker
Damian Lillard,POR,PG,Combo Guard
Shai Gilgeous-Alexander,OKC,PG,Lead Playmaker
Giannis Antetokounmpo,MIL,PF,Interior Creator
Jayson Tatum,BOS,SF,2 Way Player
Stephen Curry,GSW,PG,Combo Guard
Kevin Durant,2TM,PF,2 Way Player
Kevin Durant,BRK,PF,2 Way Player
Kevin Durant,PHO,PF,2 Way Player
LeBron James,LAL,PF,Point Forward
Donovan Mitchell,CLE,SG,Combo Guard
Devin Booker,PHO,SG,Slasher
Kyrie Irving,2TM,SG,Combo Guard
Kyrie Irving,BRK,PG,Combo Guard
Kyrie Irving,DAL,SG,Combo Guard
Jaylen Brown,BOS,SF,Point Forward
Ja Morant,MEM,PG,Lead Playmaker
Trae Young,ATL,PG,Lead Playmaker
Zion Williamson,NOP,PF,Interior Creator
Anthony Davis,LAL,C,Interior Creator
Lauri Markkanen,UTA,PF,Athletic Finisher
Julius Randle,NYK,PF,Interior Creator
De'Aaron Fox,SAC,PG,Lead Playmaker
Zach LaVine,CHI,SG,Slasher
Anthony Edwards,MIN,SG,Lead Playmaker
DeMar DeRozan,CHI,SF,2 Way Player
Nikola Jokić,DEN,C,Interior Creator
Pascal Siakam,TOR,PF,Interior Creator
Jalen Brunson,NYK,PG,Lead Playmaker
Paul George,LAC,SF,2 Way Player
Kawhi Leonard,LAC,SF,2 Way Player
LaMelo Ball,CHO,PG,Combo Guard
Bradley Beal,WAS,SG,Slasher
Kristaps Porziņģis,WAS,C,Interior Creator
Jimmy Butler,MIA,PF,2 Way Player
Jalen Green,HOU,SG,Combo Guard
Keldon Johnson,SAS,SF,Slasher
Klay Thompson,GSW,SF,Shooter
Bojan Bogdanović,DET,PF,Playmaking forward
Darius Garland,CLE,PG,Lead Playmaker
Desmond Bane,MEM,SG,2 Way Player
Kyle Kuzma,WAS,PF,Point Forward
Terry Rozier,CHO,SG,Lead Playmaker
Anfernee Simons,POR,SG,Microwave
James Harden,PHI,PG,Lead Playmaker
CJ McCollum,NOP,PG,Lead Playmaker
Jordan Clarkson,UTA,SG,Microwave
Karl-Anthony Towns,MIN,PF,Interior Creator
Tyrese Haliburton,IND,PG,Lead Playmaker
Jerami Grant,POR,PF,2 Way Player
Dejounte Murray,ATL,SG,Lead Playmaker
Bam Adebayo,MIA,C,Interior Creator
Jordan Poole,GSW,PG,Combo Guard
Tyrese Maxey,PHI,SG,Combo Guard
Kelly Oubre Jr.,CHO,SF,Athletic Finisher
Mikal Bridges,2TM,SG,2 Way Player
Mikal Bridges,PHO,SF,2 Way Player
Mikal Bridges,BRK,SG,Slasher
Tyler Herro,MIA,SG,Combo Guard
Paolo Banchero,ORL,PF,Point Forward
Louis King,PHI,PF,Athletic Finisher
Jamal Murray,DEN,PG,Lead Playmaker
Cade Cunningham,DET,PG,Combo Guard
RJ Barrett,NYK,SG,Combo Guard
Jrue Holiday,MIL,PG,Lead Playmaker
Fred VanVleet,TOR,PG,Lead Playmaker
Kevin Porter Jr.,HOU,PG,Combo Guard
Domantas Sabonis,SAC,C,Interior Creator
Jaren Jackson Jr.,MEM,C,Rim running shotblocker
Franz Wagner,ORL,SF,Slasher
Devin Vassell,SAS,SG,Combo Guard
Deandre Ayton,PHO,C,Rim running shotblocker
Myles Turner,IND,C,Rim running shotblocker
D'Angelo Russell,2TM,PG,Combo Guard
D'Angelo Russell,MIN,PG,Combo Guard
D'Angelo Russell,LAL,PG,Lead Playmaker
Nikola Vučević,CHI,C,Rim running shotblocker
